,id,nb_hop,reasoning,query_nl,supdoc1,supdoc2,supdoc3
2280,WH_dev_4999,0,,Patricia graham is born in Lafayette,"Patricia Albjerg Graham is a historian of American education . She began her teaching career in Deep Creek , Virginia , and went on to become a lecturer at Indiana University , professor of history and education at TC , Columbia University , dean of the Radcliffe Institute and of Harvard Graduate School of Education . She was President of the Spencer Foundation from 1991 to 2000 . On May 28 , 2015 , Graham was awarded an honorary Doctor of Laws by Harvard University . She is the first female dean at Harvard where there is a chair named after her .","Indiana University (IU) is a multi-campus public university system in the state of Indiana, United States. Indiana University has a combined student body of more than 110,000 students, including approximately 46,000 students enrolled at the Indiana University Bloomington campus and approximately 31,000 students enrolled at the Indiana University – Purdue University Indianapolis (IUPUI) campus.","Purdue University is a public research university located in West Lafayette, Indiana and is the main campus of the Purdue University system. The university was founded in 1869 after Lafayette businessman John Purdue donated land and money to establish a college of science, technology, and agriculture in his name. The first classes were held on September 16, 1874, with six instructors and 39 students."
4437,WH_dev_2860,0,,Dong's original language is Thai,"Dong ( simplified Chinese : 东 ; traditional Chinese : 東 ; pinyin : dōng ; literally : `` East '' ) is a 2006 documentary film by Chinese director , Jia Zhangke . It is the companion piece to Jia 's Still Life , which was released concurrently although Dong was reputedly conceived of first . The film , which runs a relatively short 66 minutes , follows the artist and actor Liu Xiaodong as he invites Jia to film him while he paints a group of laborers near the Three Gorges Dam ( also the subject of Still Life ) and later a group of women in Bangkok . The film was produced and distributed by Jia 's own production company , Xstream Pictures , based out of Hong Kong and Beijing . Dong was screened at the 2006 Venice International Film Festival as part of its `` Horizons '' Program , and as part of the 2006 Toronto International Film Festival 's `` Real - to - Reel '' Program . Dong was filmed in HD digital video .","Bangkok is the capital and most populous city of Thailand. It is known in Thai as ""Krung Thep Maha Nakhon"" (pronounced ) or simply . The city occupies in the Chao Phraya River delta in Central Thailand, and has a population of over 8 million, or 12.6 percent of the country's population. Over 14 million people (22.2 percent) live within the surrounding Bangkok Metropolitan Region, making Bangkok an extreme primate city, significantly dwarfing Thailand's other urban centres in terms of importance. There are 581 high-rise buildings in the city, ranking number 5 in the world.",None
2489,WH_dev_2840,0,,Wo jia is born on 1600 bce,"Qiang Jia or Wo Jia ( Chinese : 沃甲 ) was a Shang dynasty King of China . In the Records of the Grand Historian he was listed by Sima Qian as the fifteenth Shang king , succeeding his brother Zu Xin ( 祖辛 ) . He was enthroned in the year of Renyan ( 壬寅 ) with Bi ( 庇 ) as his capital . He ruled for about 25 years ( although other sources claim 20 years ) before his death . He was given the posthumous name Wo Jia and was succeeded by his nephew Zu Ding ( 祖丁 ) . Oracle script inscriptions on bones unearthed at Yinxu alternatively record that he was the fourteenth Shang king , given the posthumous name Qiang Jia ( 羌甲 ) .","The Shang dynasty or Yin dynasty, according to traditional historiography, ruled in the Yellow River valley in the second millennium BC, succeeding the Xia dynasty and followed by the Zhou dynasty. The classic account of the Shang comes from texts such as the ""Book of Documents"", ""Bamboo Annals"" and ""Records of the Grand Historian"". According to the traditional chronology based on calculations made approximately 2,000 years ago by Liu Xin, the Shang ruled from 1766 to 1122 BC, but according to the chronology based upon the ""current text"" of ""Bamboo Annals"", they ruled from 1556 to 1046 BC. The Xia–Shang–Zhou Chronology Project dated them from c. 1600 to 1046 BC.","The Xia dynasty (c. 2070 – c. 1600 BCE) is the first dynasty in traditional Chinese history. It is described in ancient historical chronicles such as the ""Bamboo Annals"", the ""Classic of History"" and the ""Records of the Grand Historian"". According to tradition, the dynasty was established by the legendary Yu the Great after Shun, the last of the Five Emperors gave his throne to him. The Xia was later succeeded by the Shang dynasty (c. 1600– c. 1046 BCE)."
3649,WH_dev_795,0,,Interstate 555 is located in Missouri,"Interstate 555 ( I - 555 ) is a future Interstate Highway that is slated to connect Turrell , Arkansas , at I - 55 to Jonesboro at Arkansas Highway 91 ( Hwy. 91 ) . I - 555 will travel along what is currently U.S. Route 63 ( US 63 ) . That highway was upgraded in the 2000s to Interstate Highway standards . The road is currently awaiting Interstate status pending a second crossing between Payneway and Marked Tree to accommodate farm equipment . I - 555 will be the second Interstate with all three digits the same , to exist , the first to be signed as an Interstate ( I - 444 in Oklahoma is unsigned ) . Another three - digit interstate with the same number is proposed and is Interstate 222 , a connector between I - 22 and I - 422 in Alabama .","Arkansas is a state located in the southeastern region of the United States. Its name is of Siouan derivation from the language of the Osage denoting their related kin, the Quapaw Indians. The state's diverse geography ranges from the mountainous regions of the Ozark and the Ouachita Mountains, which make up the U.S. Interior Highlands, to the densely forested land in the south known as the Arkansas Timberlands, to the eastern lowlands along the Mississippi River and the Arkansas Delta.","The U.S. Interior Highlands is a mountainous highland region spanning eastern Oklahoma, western and northern Arkansas, southern Missouri, and the extreme southeast corner of Kansas. The name is designated by the United States Geological Survey to refer to the combined mountainous region of the Ozarks and Ouachita Mountains, which form a distinct physiographic division. It is the only major highland region between the Rocky Mountains and the Appalachian Mountains in the United States."
5231,WH_dev_3753,0,,Sigrid fick is dead in Stockholm,"Sigrid Fick ( née Frenckell ; 28 March 1887 -- 4 June 1979 ) was a Finnish - born tennis player who moved to Sweden in 1910 . She competed at the 1912 , 1920 and 1924 Olympics and won two mixed doubles medals in 1912 , both with Gunnar Setterwall . During her career Fick won 56 Swedish titles .","Carl Gunnar Emanuel Setterwall (18 August 1881 – 26 February 1928) was a Swedish tennis player who won four Olympic medals. In 1908 he won a bronze in the men's indoor doubles, alongside Wollmar Boström. Four years later he won three more medals. In the mixed doubles (with Sigrid Fick) and indoor doubles (with Carl Kempe) tournament he reached the final but lost both times. Sigrid Fick was also his partner in the mixed indoor event and together they won a bronze medal.",Johan Carl Kempe (8 December 1884 – 8 July 1967) was leader of the Swedish pulp and paper industry Mo och Domsjö AB and involved in several other companies in the large economic sphere of the Kempe family. He was also a silver medalist in tennis at the 1912 Summer Olympics in Stockholm.
4735,WH_dev_4857,0,,Penmachno is located in Conwy county borough,"Penmachno is a village in the isolated upland valley of Cwm Penmachno , 4 miles south of Betws - y - Coed in the county of Conwy , north Wales . The two parts of the village are linked by a five - arched , stone bridge dating from 1785 . The village has been referred to as Pennant Machno , Llandudclyd and Llan dutchyd in historical sources . According to the 2011 census , the population of the Bro Machno Parish ( which also includes Cwm Penmachno ) was 617 , of whom 342 ( 55 % ) were able to speak Welsh and 214 ( 34 % ) had no skills in Welsh .","Betws-y-Coed (""Prayer house in the wood"") is a village and community in the Conwy valley in Conwy County Borough, Wales.",None
3222,WH_dev_3100,0,,Anandam's country of origin is India,"Anandam ( English : Happiness ) is a 2001 Telugu romance film , directed by Srinu Vaitla and starred Jai Akash and Rekha Vedavyas in lead roles . The music of the film is composed by Devi Sri Prasad . The film was remade into Tamil as Inidhu Inidhu Kaadhal Inidhu and Kannada as Ananda , all the three versions being produced by Ramoji Rao .","Devi Sri Prasad is an Indian music composer, singer, and director. He is best known for his works in the cinema of South India, especially in Telugu cinema. He has won seven Filmfare Awards, six are Filmfare Best Music Director South Awards and one Special Jury Award, five CineMAA Awards - Best Music Director. Devi also choreographed a song in the Telugu film ""Kumari 21F"".",None
7358,WH_dev_2075,1,[0] Dudley richards was an American( also known as United States of America) figure skater,Dudley richards is a citizen of United states of america,"Dudley `` Dud '' Shaw Richards ( February 4 , 1932 - February 15 , 1961 ) was an American figure skater who competed in men 's singles and pairs . In singles , he won the bronze medal at the 1953 United States Figure Skating Championships and finished sixth at that year 's World Figure Skating Championships . In pairs , he once skated with future Olympic gold medalist Tenley Albright , before later teaming up with Maribel Owen . After winning the bronze medal at Nationals in 1958 and 1959 , the pair captured the silver in 1960 and finished tenth at that year 's Winter Olympic Games . In 1961 , Owen and Richards won the gold medal at the U.S. Championships and finished second at the North American Figure Skating Championships . Away from the ice , Richards was a graduate of Harvard University and had spent time in the Army . He was also a real estate executive and a longtime friend ( and college roommate ) of future Senator Ted Kennedy . Richards was en route to the World Championships in 1961 when his plane , Sabena Flight 548 , crashed near Brussels , Belgium , killing all on board . He was 29 at the time of his death .","Tenley Emma Albright (born July 18, 1935) is an American former figure skater and surgeon. She is the 1956 Olympic champion, the 1952 Olympic silver medalist, the 1953 and 1955 World Champion, the 1953 and 1955 North American champion, and the 1952–1956 U.S. national champion. Albright is also a graduate of Harvard Medical School. In 2015 she was inducted into the National Women's Hall of Fame.","The National Women's Hall of Fame is an American institution created in 1969 by a group of people in Seneca Falls, New York, the location of the 1848 Women's Rights Convention. The mission of the Hall is ""to honor in perpetuity those women, citizens of the United States of America, whose contributions to the arts, athletics, business, education, government, the humanities, philanthropy and science, have been the greatest value for the development of their country."""
4348,WH_dev_3970,1,[0] Japan national route 102 is connected to Aomori prefecture.,Japan national route 102 is located in Aomori prefecture,"National Route 102 is a national highway of Japan connecting Hirosaki , Aomori and Towada , Aomori in Japan , with a total length of 101.8 km ( 63.26 mi ) .","Geography.
Towada is located in the foothills of the Hakkoda Mountains and encompasses the Aomori portion of Lake Towada. The Oirase River passes through the town. The city has a cold maritime climate characterized by cool summers and cold winters with heavy snowfall. Part of the city is within the limits of the Towada-Hachimantai National Park. ","The is a river located in eastern Aomori prefecture, Japan."
1427,WH_dev_2326,1,[0] helen hayes theatre is a broadway theater,Helen hayes theatre is an instance of Theater,"Helen Hayes Theatre , initially known as the Little Theatre , is a Broadway theatre located at 240 West 44th Street in Midtown Manhattan . With 597 seats , it is the smallest theatre on Broadway ; it gave birth to what became known as the Little Theatre Movement in the early 20th century .","Broadway theatre, commonly known as Broadway, refers to the theatrical performances presented in the 41 professional theatres with 500 or more seats located in the Theater District and Lincoln Center along Broadway, in Midtown Manhattan, New York City. Along with London's West End theatres, Broadway theatres are widely considered to represent the highest level of commercial theatre in the English-speaking world.",None
2306,WH_dev_2471,1,[0] A Time to Kill is  legal thriller( A Time to Kill is a 1989 legal suspense thriller by John Grisham),A genre of A time to kill is Legal thriller,"A Time to Kill is a 1989 legal suspense thriller by John Grisham . It was Grisham 's first novel . The novel was rejected by many publishers before Wynwood Press ( located in New York ) eventually gave it a modest 5,000 - copy printing . After The Firm , The Pelican Brief , and The Client became bestsellers , interest in A Time to Kill grew ; the book was republished by Doubleday in hardcover and , later , by Dell Publishing in paperback , and itself became a bestseller . This made Grisham extremely popular among readers . In 1996 , the novel was adapted into a film of the same name , starring Matthew McConaughey and Samuel L. Jackson . In 2011 , it was further adapted into a stage play of the same name by Rupert Holmes . The stage production opened at the Arena Stage ( Washington , D.C. ) in May 2011 and opened on Broadway in October 2013 .","John Ray Grisham, Jr. (born February 8, 1955) is an American bestselling writer, attorney, politician, and activist best known for his popular legal thrillers. His books have been translated into 42 languages and published worldwide.","The legal thriller is a subgenre of thriller and crime fiction in which the major characters are lawyers and their employees. The system of justice itself is always a major part of these works, at times almost functioning as one of the characters. In this way, the legal system provides the framework for the legal thriller much as the system of modern police work does for the police procedural."
2198,WH_dev_4918,1,[0] A pun is a form of wordplay that is considered a figure of speech,Pun is an instance of Figure of speech,"The pun , also called paronomasia , is a form of word play that suggests two or more meanings , by exploiting multiple meanings of words , or of similar - sounding words , for an intended humorous or rhetorical effect . These ambiguities can arise from the intentional use of homophonic , homographic , metonymic , or figurative language . A pun differs from a malapropism in that a malapropism is an incorrect variation on a correct expression , while a pun involves expressions with multiple correct interpretations . Puns may be regarded as in - jokes or idiomatic constructions , as their usage and meaning are specific to a particular language and its culture . Puns have a long history in human writing . Sumerian cuneiform and Egyptian hieroglyphs were originally based on punning systems , and the Roman playwright Plautus was famous for his puns and word games . Punning has been credited as the fundamental concept behind alphabets , writing , and even human civilization .","Word play or wordplay (also: play-on-words) is a literary technique and a form of wit in which the words that are used become the main subject of the work, primarily for the purpose of intended effect or amusement. Examples of word play include puns, phonetic mix-ups such as spoonerisms, obscure words and meanings, clever rhetorical excursions, oddly formed sentences, double entendres, and telling character names (such as in the play ""The Importance of Being Earnest"", ""Ernest"" being a given name that sounds exactly like the adjective ""earnest"").","A double entendre is a figure of speech or a particular way of wording that is devised to be understood in either of two ways, having a double meaning. Typically one of the meanings is obvious, given the context whereas the other may require more thought. The innuendo may convey a message that would be socially awkward, sexually suggestive, or offensive to state directly (the ""Oxford English Dictionary"" describes a double entendre as being used to ""convey an indelicate meaning"", whilst Longman Dictionary of Contemporary English defines it as ""a word or phrase that may be understood in two different ways, one of which is often sexual"")."
8673,WH_dev_810,1,"[0] Jo cals is a dutch, so therefore citizen of Kingdom of the netherlands",Jo cals is a citizen of Kingdom of the netherlands,"Jozef Maria Laurens Theo `` Jo '' Cals ( July 18 , 1914 -- December 30 , 1971 ) was a Dutch politician of the defunct Catholic People 's Party ( KVP ) now merged into the Christian Democratic Appeal ( CDA ) . He served as Prime Minister of the Netherlands from April 14 , 1965 until November 22 , 1966 . He previously served as a Member of the House of Representatives from August 19 , 1948 until March 15 , 1950 , when he became State Secretary for Education , Culture and Science serving from March 15 , 1950 until September 2 , 1952 in the Cabinets Drees - Van Schaik and Drees I. He became Minister of Education , Culture and Science serving from September 2 , 1952 until July 24 , 1963 in the Cabinets Drees II , III , Beel II and De Quay . He again returned to the House of Representatives for two short periods , after the Dutch general election of 1956 and 1959 . Serving from July 3 , 1956 until October 3 , 1956 and from March 20 , 1959 until May 19 , 1959 . And again a Member of the House of Representatives from July 2 , 1963 until April 14 , 1965 . After the fall of the Cabinet Marijnen , Cals became Prime Minister of the Netherlands , leading the Cabinet Cals . After his premiership , Cals semi-retired from active politics and served as a civil servant leading several governmental commissions . On December 5 , 1966 he was granted the honorary title of Minister of State , which he held until his death .","The Christian Democratic Appeal (; CDA) is a Christian-democratic political party in the Netherlands founded in 1977, which participated in all but three governments since then. It was a merger from the Catholic People's Party (which through its antecedents had been part of every government since 1918), the Anti-Revolutionary Party and the Christian Historical Union.","The Netherlands  is the main constituent country of the Kingdom of the Netherlands. It is a densely populated country located in Western Europe with three island territories in the Caribbean. The European part of the Netherlands borders Germany to the east, Belgium to the south, and the North Sea to the northwest, sharing maritime borders with Belgium, the United Kingdom, and Germany. The largest cities in the Netherlands are Amsterdam, Rotterdam, The Hague and Utrecht. Amsterdam is the country's capital, while The Hague holds the Dutch seat of government and parliament. The name ""Holland"" is used to refer informally to the whole of the country of the Netherlands."
